# KFB 파생거래 조회 대상 (2차 목록) - 사업자등록번호,기업명
# 출처: DART OpenAPI 기업개황(company.json) bizr_no, 2026-09-01 조회
# 한 줄에 하나. '#' 로 시작하는 줄은 무시된다.,
1208152780,삼성중공업
2528701412,HD현대중공업
6208100012,HD한국조선해양
1048157667,한화오션
5398600614,HD현대
6098140128,한화엔진
1168119273,LS ELECTRIC
1388147634,LS케이블
2668600531,HD현대일렉트릭
5788700896,효성중공업
6028142993,HJ중공업
1378102051,한미반도체
2028146197,HMM
1078100237,두산
6098104684,두산에너빌리티
2018638888,두산밥캣
5288800622,HD건설기계
3068124501,한온시스템
6098148213,HD현대마린엔진
5068101452,포스코퓨처엠
2208889441,에이피알
1208147521,카카오
3758800197,카카오뱅크
5278800686,카카오페이
2208162517,NAVER
1068197118,현대글로비스
1058174316,LG이노텍
1018116293,현대건설
1108142397,한국항공우주
1048153190,현대오토에버
1028105450,삼양식품
2208745316,크래프톤
2208139938,LG유플러스
1398125410,산일전기
1238100049,가온전선
1198110062,대한전선
6748701704,대덕전자
3288802675,OCI
7098100727,오리온
3078138444,한국콜마
1248667922,일진전기
1438119635,코스맥스
1048621617,영원무역
1058764746,넷마블
1248132296,한미사이언스
8188600991,SK바이오사이언스
1048119101,팬오션
1048118121,GS건설
8408800333,달바글로벌
1258175323,풍산
2118111260,고려아연
1028134955,한솔케미칼
6318103101,이수스페셜티케미컬
1168118745,GS리테일
2128176626,씨에스윈드
1068643373,아모레퍼시픽
6098101770,현대위아
1048117480,아시아나항공
1188122037,HD현대에너지솔루션
2088100281,보령
