사업자등록번호,메모,기업명,결과코드,결과내용,선물환_건수,선물환_매수잔액,선물환_매도잔액,선물환_최종갱신일,옵션_건수,옵션_매수잔액,옵션_매도잔액,옵션_매수콜,옵션_매수풋,옵션_매도콜,옵션_매도풋,옵션_최종갱신일,통화스왑_건수,통화스왑_매수잔액,통화스왑_매도잔액,통화스왑_최종갱신일,USD환산금액,조회일시
490-81-46857,,,401,조회 해당자료 없음,0,,,0000-00-00,0,,,,,,,0000-00-00,0,,,0000-00-00,-,2026-08-28 15:44:17
417-81-04858,,BASF COMPANY LT,000,정상처리되었습니다.,166,"522,394,713.19","94,296,240.00",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:20
417-81-17746,,BIRLA CARBON KO,000,정상처리되었습니다.,244,"46,505,127.10",0.00,2026-08-21,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-21,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:23
120-81-88819,,"BAKE PLUS CO.,",000,정상처리되었습니다.,42,0.00,"29,548,435.22",2026-07-13,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-07-13,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:25
214-86-29575,,BASF PERFORMANC,000,정상처리되었습니다.,43,"48,800,000.00","124,800,000.00",2026-08-26,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-26,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:28
114-81-77689,,BRENNTAG KOREA,000,정상처리되었습니다.,40,0.00,"7,513,688.40",2026-07-31,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-07-31,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:31
202-81-45975,,SAMSUNG C&T COR,000,정상처리되었습니다.,546,"883,113,462.21","536,358,392.69",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2019-10-30,-,2026-08-28 15:44:33
104-86-09535,,CJ CHEILJEDANG,000,정상처리되었습니다.,338,"59,383,854.69","690,498,394.14",2026-08-26,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-26,0,0.00,0.00,2022-01-19,-,2026-08-28 15:44:36
603-81-11270,,CJFOOD SYSTEM C,000,정상처리되었습니다.,1181,0.00,"79,346,364.17",2026-08-26,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-26,0,0.00,0.00,2023-03-02,-,2026-08-28 15:44:39
110-81-05034,,CJ LOGISTICS CO,000,정상처리되었습니다.,2,"20,000,000.00",0.00,2026-08-24,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-24,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:41
110-81-30979,,"DAELIM CO.,LTD.",000,정상처리되었습니다.,82,"44,650,000.00","43,450,000.00",2026-08-21,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-21,0,0.00,0.00,2024-03-07,-,2026-08-28 15:44:44
104-81-58180,,(주)대우건설,000,정상처리되었습니다.,34,"18,879,780.81","7,529,070.37",2026-08-13,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-13,0,0.00,0.00,2026-07-16,-,2026-08-28 15:44:47
116-81-19123,,지에스칼텍스(주),000,정상처리되었습니다.,328,"7,962,247,018.06","3,127,734,534.60",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2024-01-19,-,2026-08-28 15:44:49
202-81-33028,,GS GLOBAL CORP,000,정상처리되었습니다.,463,"77,631,734.35","312,961,441.79",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,0000-00-00,-,2026-08-28 15:44:52
202-81-16577,,HANWHA SOLUTION,000,정상처리되었습니다.,159,"1,504,235,043.69",0.00,2026-08-27,2060,"516,202,917.56","185,900,049.52","345,800,099.04","170,402,818.52",0.00,"185,900,049.52",2026-08-27,3,"52,000,000.00","50,000,000.00",2026-07-30,-,2026-08-28 15:44:55
101-81-09147,,현대자동차(주),000,정상처리되었습니다.,0,0.00,0.00,2026-08-26,508,"2,540,000,000.00","2,540,000,000.00","1,230,000,000.00","1,310,000,000.00","40,000,000.00","2,500,000,000.00",2026-08-26,0,0.00,0.00,2023-10-10,-,2026-08-28 15:44:57
101-81-16406,,현대모비스(주),000,정상처리되었습니다.,0,0.00,0.00,2020-11-26,0,0.00,0.00,0.00,0.00,0.00,0.00,2020-11-26,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:00
198-87-00929,,HSHYOSUNG ADVAN,000,정상처리되었습니다.,114,"138,858,548.36","31,646,637.41",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2021-05-31,-,2026-08-28 15:45:03
880-87-01070,,HYOSUNG TNC COR,000,정상처리되었습니다.,1622,"476,960,236.24","874,492,687.85",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2021-06-30,-,2026-08-28 15:45:05
202-81-16825,,(주)한화,000,정상처리되었습니다.,81,"114,779,723.50","46,063,540.00",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,1,0.00,"30,000,000.00",2026-06-26,-,2026-08-28 15:45:08
121-81-10385,,HYUNDAI STEEL C,000,정상처리되었습니다.,155,0.00,"1,529,698,294.99",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2025-12-09,-,2026-08-28 15:45:11
616-81-50527,,(주)제주항공,000,정상처리되었습니다.,0,0.00,0.00,2020-08-10,0,0.00,0.00,0.00,0.00,0.00,0.00,2020-08-10,0,0.00,0.00,2026-04-14,-,2026-08-28 15:45:13
110-81-14794,,(주)대한항공,000,정상처리되었습니다.,28,0.00,"320,000,000.00",2026-08-24,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-24,0,0.00,0.00,2026-05-26,-,2026-08-28 15:45:16
401-87-01412,,(주)케이씨씨글라스,000,정상처리되었습니다.,67,"130,156,000.00",0.00,2026-08-25,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-25,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:19
119-81-02316,,KIA CORPORATION,000,정상처리되었습니다.,0,0.00,0.00,2024-07-22,0,0.00,0.00,0.00,0.00,0.00,0.00,2024-07-22,0,0.00,0.00,2024-01-17,-,2026-08-28 15:45:21
107-87-18122,,"LX HAUSYS,LTD.",000,정상처리되었습니다.,0,0.00,0.00,2026-07-28,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-07-28,0,0.00,0.00,2023-03-02,-,2026-08-28 15:45:24
116-81-18686,,LX INTERNATIONA,000,정상처리되었습니다.,72,"419,903,291.12","79,649,905.31",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,2025-10-13,-,2026-08-28 15:45:27
120-81-55297,,LG DISPLAY CO L,000,정상처리되었습니다.,0,0.00,0.00,2025-05-19,0,0.00,0.00,0.00,0.00,0.00,0.00,2025-05-19,17,0.00,"1,586,603,000.00",2026-08-25,-,2026-08-28 15:45:29
118-81-15012,,HONAM PETROCHAM,000,정상처리되었습니다.,56,"690,128,815.44",0.00,2026-08-25,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-25,1,"100,000,000.00",0.00,2026-08-11,-,2026-08-28 15:45:32
610-81-36565,,LS MNM INC.,000,정상처리되었습니다.,242,"1,559,972,142.90","3,432,957,741.27",2026-08-27,149,"1,248,048,336.07","1,343,717,593.17","627,493,711.87","620,554,624.20","620,554,624.20","723,162,968.97",2026-08-27,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:35
512-81-06559,,NOVELIS KOREA,000,정상처리되었습니다.,2799,"3,192,907,486.68","1,843,196,606.50",2026-08-27,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-27,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:37
134-81-06892,,MAHLE Thermal a,000,정상처리되었습니다.,55,"5,256,920.14","11,222,228.60",2026-08-12,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-08-12,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:40
109-86-07361,,MAHLE BEHR KORE,000,정상처리되었습니다.,0,0.00,0.00,2025-08-12,0,0.00,0.00,0.00,0.00,0.00,0.00,2025-08-12,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:42
220-81-62517,,NAVER CORPORATI,000,정상처리되었습니다.,0,0.00,0.00,2025-09-15,0,0.00,0.00,0.00,0.00,0.00,0.00,2025-09-15,0,0.00,0.00,0000-00-00,-,2026-08-28 15:45:45
621-81-10769,,NEXEN TIRE CORP,000,정상처리되었습니다.,0,0.00,0.00,0000-00-00,0,0.00,0.00,0.00,0.00,0.00,0.00,0000-00-00,0,0.00,0.00,2023-07-11,-,2026-08-28 15:45:48
506-81-01452,,POSCO FUTURE M,000,정상처리되었습니다.,11,"170,204,538.79",0.00,2026-07-14,0,0.00,0.00,0.00,0.00,0.00,0.00,2026-07-14,0,0.00,0.00,2025-01-25,-,2026-08-28 15:45:50
